;Ano;Nome do Evento;Edição do Evento;Cidade;País do Evento;Total de Amostras;Países Participantes;Data do Evento;Total de Prêmios;pais;continente
152;2018;Sélections Mondiales des Vins;25;Ville de Québec;Canada;1776.0;31.0;24 a 28 de maio;6;Canada;America do Norte
153;2018;Citadelles du Vin;18;Bordeaux;Franca;881.0;31.0;19 a 21 de maio;7;Franca;Europa
154;2018;International Wine Challenge;34;Londres;Inglaterra;;55.0;22 e 23 de abril;40;Inglaterra;Europa
155;2018;Challenge International du Vin;42;Bordeaux;Franca;5000.0;38.0;20 e 21 de abril;11;Franca;Europa
156;2018;Chardonnay du Monde;25;Saint Lager;Franca;679.0;39.0;7 a 9 de março;6;Franca;Europa
157;2018;Bacchus;16;Madri;Espanha;1740.0;20.0;8 a 12 de março;5;Espanha;Europa
158;2018;Vinalies Internationales;24;Paris;Franca;3500.0;47.0;2 a 6 de março;9;Franca;Europa
159;2018;Thessaloniki International Wine and Spirits Competition;18;Thessaloniki;Grecia;746.0;0.0;27 de fevereiro a 1 de março;9;Grecia;Europa
160;2018;CINVE - Concurso Internacional de Vinos y Espirituosos;18;Cáceres;Espanha;705.0;14.0;12 a 14 de fevereiro;16;Espanha;Europa
161;2018;Concours Mondial de Bruxelles;25;Pequim;China;9180.0;48.0;10 a 14 de maio;4;China;Asia
162;2018;Vinandino y Malbec al Mundo;2;Mendoza;Argentina;378.0;5.0;12 a 16 de maio;5;Argentina;America do Sul
163;2018;Brazil Wine Challenge;9;Bento Gonçalves;Brasil;611.0;18.0;5 a 8 de junho 2018;108;Brasil;America do Sul
164;2019;Mondial des Pinots;22;Sierre;Suica;1212.0;29.0;16 a 18 de agosto;2;Suica;Europa
165;2019;Effervescents du Monde;17;Dijon;Franca;564.0;22.0;13 a 15 de novembro;9;Franca;Europa
166;2019;Concurso Internacional Tannat al Mundo Terruño de oro;7;Canelones;Uruguai;150.0;7.0;20 a 24 de outubro;1;Uruguai;America do Sul
167;2019;VINUS - Concurso Internacional de Vinos y Licores;17;Mendoza;Argentina;;19.0;7 a 9 de agosto;38;Argentina;America do Sul
168;2019;Sélections Mondiales des Vins;26;Quebec;Canada;1565.0;35.0;23 a 27 de maio;6;Canada;America do Norte
169;2019;Catad'Or World Wine Awards;24;Santiago;Chile;665.0;14.0;4 a 7 de julho;8;Chile;America do Sul
170;2019;Muscats du Monde;19;Frontignan la Peyrade;Franca;205.0;19.0;3 e 4 de julho;5;Franca;Europa
171;2019;Cittá del Vino;18;Roma;Italia;1200.0;14.0;31 de maio a 2 de junho;1;Italia;Europa
172;2019;International Wine Challenge;35;Londres;Inglaterra;;40.0;1º a 11 de abril;48;Inglaterra;Europa
173;2019;Concours Mondial de Bruxelles;26;Aigle;Suica;9150.0;46.0;1º a 5 de maio;5;Suica;Europa
174;2019;Prêmio Internacional 5 Star Wine;4;Verona;Italia;3500.0;0.0;3 a 5 de abril;2;Italia;Europa
175;2019;VinAgora International Wine Competition;20;Budapeste;Hungria;643.0;17.0;6 a 8 de abril;5;Hungria;Europa
176;2019;Challenge International du Vin;43;Bordeaux;Franca;5000.0;37.0;12 e 13 de abril;15;Franca;Europa
177;2019;CINVE - Concurso Internacional de Vinos y Espirituosos;19;Cáceres;Espanha;800.0;16.0;31 de março a 3 de abril;7;Espanha;Europa
178;2019;Thessaloniki International Wine and Spirits Competition;19;Thessaloniki;Grecia;866.0;5.0;19 a 21 de fevereiro;14;Grecia;Europa
179;2019;International Awards VIRTUS;1;Lisboa;Portugal;462.0;0.0;23 a 25 de março;13;Portugal;Europa
180;2019;Citadelles du Vin;19;Bordeaux;Franca;800.0;40.0;16 a 18 de março;7;Franca;Europa
181;2019;Bacchus;17;Madri;Espanha;1650.0;20.0;7 a 11 de março;9;Espanha;Europa
182;2019;Vinalies Internationales;25;Paris;Franca;3340.0;45.0;1º a 5 de março;8;Franca;Europa
183;2019;Decanter World Wine Awards;16;Londres;Inglaterra;17000.0;57.0;29 de abril a 3 de maio;52;Inglaterra;Europa
